STRING	ENGLISH	FRENCH
Current_Turn	$whoseturn$ go	$whoseturn$ go
Current_Score	Score: $score$	Score: $score$
End_Score	Final Score: $score$	Score Finale: $score$
UnitHP_1	$UnitHealth1$ / $UnitHealthMax1$	$UnitHealth1$ / $UnitHealthMax1$
UnitHP_2	$UnitHealth2$ / $UnitHealthMax2$	$UnitHealth2$ / $UnitHealthMax2$
UnitHP_3	$UnitHealth3$ / $UnitHealthMax3$	$UnitHealth3$ / $UnitHealthMax3$
MM_Start	Start Game	Commencer Le Jeu
MM_Replay	Restart		Restart
MM_Load	Load	Load
UI_Name	$HoverName$	$HoverName$
UI_Description	$HoverDescription$	$HoverDescription$
UI_Health	Health: $HoverHealth$ / $HoverMaxHealth$	Health: $HoverHealth$ / $HoverMaxHealth$
UI_Attack	Attack: $HoverAttackStat$	Attack: $HoverAttackStat$
UI_Defense	Defense: $HoverDefenseStat$	Defense: $HoverDefenseStat$
UI_Speed	Speed: $HoverSpeedStat$	Speed: $HoverSpeedStat$
UI_Itemstat	$HoverItemStatName$: +$HoverItemStatValue$	$HoverItemStatName$: +$HoverItemStatValue$
Scoreboard	Highscores	Highscores
Scoreboard1	1. $highscore1$	1. $highscore1$
Scoreboard2	2. $highscore2$	2. $highscore2$
Scoreboard3	3. $highscore3$	3. $highscore3$
Scoreboard4	4. $highscore4$	4. $highscore4$
Scoreboard5	5. $highscore5$	5. $highscore5$
Scoreboard_Back	Back	Back
